 RPM	T(N)	P(kW)	M(N-m)\(kg-cm)		T(lbf)	P(Hp)	M(ft-lb)		FM	M_tip	v_induced
 2200	99.42	 1.00	-1.108\-11.299		22.35	 1.34	-0.817		0.781	0.302	7.861
 2420	122.68	 1.36	-1.266\-12.915		27.58	 1.82	-0.934		0.789	0.336	8.732
 2640	148.40	 1.78	-1.388\-14.155		33.36	 2.39	-1.024		0.799	0.370	9.604
 2860	169.34	 2.15	-1.453\-14.820		38.07	 2.89	-1.072		0.806	0.395	10.259
 3080	199.55	 2.72	-1.506\-15.359		44.86	 3.65	-1.111		0.816	0.428	11.137
 3300	232.48	 3.39	-1.524\-15.539		52.26	 4.55	-1.124		0.824	0.462	12.021
 3520	259.07	 3.96	-1.520\-15.497		58.24	 5.31	-1.121		0.830	0.487	12.690
 3740	297.23	 4.84	-1.502\-15.312		66.82	 6.49	-1.108		0.835	0.521	13.592
 3960	338.67	 5.87	-1.489\-15.188		76.14	 7.87	-1.099		0.837	0.554	14.508
